Chip n°	Chip Id	Group name	Condition key *	Condition description	Cells collected	Experiment number	Conditionn°	References
1	25350202	Growth phases [LB]	LBexp_1	Cells were grown in Luria-Bertani medium (Sigma) [LB]  at 37°C with vigorous shaking in flasks. Overnight cultures were diluted 2000-fold in fresh pre-warmed medium and samples were collected during the exponential [exp], transition  [tran] and  stationary [stat] phases of the growth cycle .	O.D.600 approx. 0.5	exp. N°1	1	This work (Jouy)
2	25368302		LBexp_2		O.D.600 approx. 0.5	exp. N°2	1	This work (Jouy)
3	25348702		LBexp_3		O.D.600 approx. 0.5	exp. N°3	1	This work (Jouy)
4	25350002		LBtran_1		O.D.600 approx. 1.4	exp. N°1	2	This work (Jouy)
5	25350302		LBtran_2		O.D.600 approx. 1.4	exp. N°2	2	This work (Jouy)
6	25350802		LBtran_3		O.D.600 approx. 1.4	exp. N°3	2	This work (Jouy)
7	25350502		LBstat_1		O.D.600 approx. 2	exp. N°1	3	This work (Jouy)
8	25350102		LBstat_2		O.D.600 approx. 2	exp. N°2	3	This work (Jouy)
9	25350702		LBstat_3		O.D.600 approx. 2	exp. N°3	3	This work (Jouy)
10	25351002	Growth phases [LBG]	LBGexp_1	Cells were grown in Luria-Bertani medium (Sigma) supplemented with glucose 0.3 % [LBG] at 37°C with  vigorous shaking in flasks. Overnight cultures were diluted 2000-fold in fresh pre-warmed medium and samples were collected during the exponential [exp], transition  [tran] and  stationary [stat] phases of the growth cycle .	O.D.600 approx. 0.5	exp. N°1	4	This work (Jouy)
11	25350402		LBGexp_2		O.D.600 approx. 0.5	exp. N°2	4	This work (Jouy)
12	25350602		LBGexp_3		O.D.600 approx. 0.5	exp. N°3	4	This work (Jouy)
13	27737502		LBGtran_2		O.D.600  approx. 1.4	exp. N°2	5	This work (Jouy)
14	27061402		LBGtran_3		O.D.600 approx. 1.4	exp. N°3	5	This work (Jouy)
15	27738002		LBGstat_1		O.D.600 approx. 2	exp. N°1	6	This work (Jouy)
16	27737202		LBGstat_2		O.D.600 approx. 2	exp. N°2	6	This work (Jouy)
17	27737302		LBGstat_3		O.D.600 approx. 2	exp. N°3	6	This work (Jouy)
18	28386102	Sporulation	S0_1	 Cells were grown in CH medium at 37°C and sporulation was induced by resuspension in warm sporulation medium as described by Sterlini and Mandelstam (J. M. Sterlini, J. Mandelstam, Biochem J 113, 29, Jun, 1969). The initiation of sporulation was designated T0, the time of resuspension.  Samples were harvested at hourly intervals for 6 hours [S0 to S6] for the first set of experiments and for 8 hours [S0 to S8] for a  second set of experiments.	time =0h after resuspension	exp. N°1	7	This work (Jouy)
19	28384902_01		S0_2		time =0h after resuspension	exp. N°2	7	This work (Jouy)
20	29584102		S0_3		time =0h after resuspension	exp. N°3	7	This work (Jouy)
21	28384002		S1_1		time =1h after resuspension	exp. N°1	8	This work (Jouy)
22	28358602		S1_2		time =1h after resuspension	exp. N°2	8	This work (Jouy)
23	29569102		S1_3		time =1h after resuspension	exp. N°3	8	This work (Jouy)
24	28345202_01		S2_1		time =2h after resuspension	exp. N°1	9	This work (Jouy)
25	28438702_01		S2_2		time =2h after resuspension	exp. N°2	9	This work (Jouy)
26	29584002		S2_3		time =2h after resuspension	exp. N°3	9	This work (Jouy)
27	28353902		S3_1		time =3h after resuspension	exp. N°1	10	This work (Jouy)
28	28407302_01		S3_2		time =3h after resuspension	exp. N°2	10	This work (Jouy)
29	29593702		S3_3		time =3h after resuspension	exp. N°3	10	This work (Jouy)
30	28353602_01		S4_1		time =4h after resuspension	exp. N°1	11	This work (Jouy)
31	29633702		S4_2		time =4h after resuspension	exp. N°2	11	This work (Jouy)
32	29593902		S4_3		time =4h after resuspension	exp. N°3	11	This work (Jouy)
33	28387702		S5_1		time =5h after resuspension	exp. N°1	12	This work (Jouy)
34	29581902		S5_2		time =5h after resuspension	exp. N°2	12	This work (Jouy)
35	29636602		S5_3		time =5h after resuspension	exp. N°3	12	This work (Jouy)
36	28357602		S6_1		time =6h after resuspension	exp. N°1	13	This work (Jouy)
37	29634602		S6_2		time =6h after resuspension	exp. N°2	13	This work (Jouy)
38	29637702		S6_3		time =6h after resuspension	exp. N°3	13	This work (Jouy)
39	39203702		S6/t_1		time =6h after resuspension	exp. N°1	13	This work (Jouy)
40	42359702		S6/t_2		time =6h after resuspension	exp. N°2	13	This work (Jouy)
41	39204702		S6/t_2		time =6h after resuspension	exp. N°3	13	This work (Jouy)
42	43477102		S6_4		time =6h after resuspension 	exp. N°4	13	This work (Jouy)
43	43203402		S6_5		time =6h after resuspension 	exp. N°5	13	This work (Jouy)
44	43259002		S6_6		time =6h after resuspension 	exp. N°6	13	This work (Jouy)
45	43261002		S7_4		time =7h after resuspension 	exp. N°4	14	This work (Jouy)
46	43260902		S7_5		time =7h after resuspension 	exp. N°5	14	This work (Jouy)
47	43477202		S7_6		time =7h after resuspension 	exp. N°6	14	This work (Jouy)
48	43256702		S8_4		time =8h after resuspension 	exp. N°4	15	This work (Jouy)
49	43271102		S8_5		time =8h after resuspension 	exp. N°5	15	This work (Jouy)
50	33853802	Germination	G135_1	Purified spores were obtained by growing cells in DSM medium (P. Schaeffer, J. Millet, J. P. Aubert, Proc Natl Acad Sci U S A 54, 704, Sep, 1965) at 37°C for 48 hours after which they were washed ten times in ice cold distilled water over a period of 5 days. Purified spores were heat activated at 70°C  in Tris 10 mM pH 8.4 and germination was initiated by the addition of L-alanine 10 mM (A. Moir, J Bacteriol 146, 1106, Jun, 1981). After incubation for one hour at 37°C, the culture was diluted with an equal volume of 2X LB medium and germinating cells were harvested at 135, 150 or 180 minutes after addition of L-alanine [G135, G150 and G180].	time =135min after L-alanine addition 	exp. N°1	16	This work (Jouy)
51	33849902		G135_3		time =135min after L-alanine addition 	exp. N°3	16	This work (Jouy)
52	33856402		G150_1		time =150min after L-alanine addition 	exp. N°1	17	This work (Jouy)
53	33873202		G150_2		time =150min after L-alanine addition 	exp. N°2	17	This work (Jouy)
